examples_seen,loss,lr,seconds
32,20.072765350341797,0.05,0.021000146865844727
1056,13.748224258422852,0.04971690027922922,0.3661203384399414
2080,11.50299072265625,0.04943380055845844,0.7354731559753418
3104,10.559581756591797,0.049150700837687654,1.0555007457733154
4128,5.146759510040283,0.04886760111691687,1.3675708770751953
5152,2.8838329315185547,0.04858450139614609,1.7220685482025146
6176,2.016352653503418,0.048301401675375305,2.089386463165283
7200,0.9888800978660583,0.04801830195460452,2.395820140838623
8224,0.7405977845191956,0.047735202233833735,2.7674427032470703
9248,0.8046671152114868,0.04745210251306295,3.092533588409424
10272,0.4526376724243164,0.04716900279229217,3.4422152042388916
11296,1.2337579727172852,0.046885903071521386,3.765216588973999
12320,0.2727909982204437,0.0466028033507506,4.100895881652832
13344,0.35881978273391724,0.04631970362997982,4.50819993019104
14368,0.44672054052352905,0.04603660390920904,4.8284547328948975
15392,0.3606492877006531,0.04575350418843826,5.1190197467803955
16416,0.2798583507537842,0.04547040446766747,5.528560161590576
17440,0.4327903389930725,0.04518730474689669,5.866519927978516
18464,0.44341400265693665,0.04490420502612591,6.194674491882324
19488,0.5431382060050964,0.044621105305355124,6.4819495677948
20512,0.3742876350879669,0.04433800558458434,6.804687261581421
21536,0.7224177718162537,0.044054905863813554,7.135247707366943
22560,0.3113236427307129,0.04377180614304277,7.503544092178345
23584,0.5217863321304321,0.04348870642227198,7.893139362335205
24608,0.425299733877182,0.043205606701501205,8.28369927406311
25632,0.26476335525512695,0.04292250698073042,8.631197929382324
26656,0.2277289479970932,0.04263940725995964,8.983140468597412
27680,0.276382178068161,0.042356307539188856,9.316275835037231
28704,0.28848618268966675,0.04207320781841807,9.634225845336914
29728,0.13621923327445984,0.04179010809764729,9.996600866317749
30752,0.16711165010929108,0.04150700837687651,10.304992198944092
31776,0.24018998444080353,0.04122390865610573,10.592877626419067
32800,0.2141018807888031,0.040940808935334944,10.934308767318726
33824,0.790169358253479,0.04065770921456416,11.304764986038208
34848,0.20892658829689026,0.04037460949379337,11.614567518234253
35872,0.1589457392692566,0.04009150977302259,11.905729055404663
36896,0.25429150462150574,0.0398084100522518,12.183750867843628
37920,0.2290697693824768,0.039525310331481024,12.43001675605774
38944,0.30416491627693176,0.03924221061071024,12.780340671539307
39968,0.33882108330726624,0.038959110889939454,13.152525663375854
40992,0.19618986546993256,0.038676011169168675,13.413450479507446
42016,0.17936086654663086,0.03839291144839789,13.667153596878052
43040,0.46074795722961426,0.03810981172762711,13.953469038009644
44064,0.5664840340614319,0.037826712006856326,14.239036083221436
45088,0.09556663781404495,0.03754361228608554,14.560328483581543
46112,0.2877570688724518,0.037260512565314756,14.838575839996338
47136,0.20426227152347565,0.03697741284454397,15.092896223068237
48160,0.22542954981327057,0.03669431312377319,15.405449390411377
49184,0.13481874763965607,0.03641121340300241,15.690726280212402
50208,0.740188717842102,0.03612811368223162,15.975242376327515
51232,0.33408379554748535,0.035845013961460837,16.27091121673584
52256,0.47887295484542847,0.03556191424069006,16.596502780914307
53280,0.14884883165359497,0.03527881451991927,16.87385106086731
54304,0.4610716700553894,0.034995714799148495,17.17245602607727
