examples_seen,loss,lr,seconds
32,20.072765350341797,0.05,0.05851411819458008
1056,13.748224258422852,0.04971690027922922,0.40361833572387695
2080,11.50299072265625,0.04943380055845844,0.7719912528991699
3104,10.559581756591797,0.049150700837687654,1.0977349281311035
4128,5.146759510040283,0.04886760111691687,1.4102702140808105
5152,2.8838329315185547,0.04858450139614609,1.7708749771118164
6176,2.016352653503418,0.048301401675375305,2.1375317573547363
7200,0.9888800978660583,0.04801830195460452,2.4265730381011963
8224,0.7405977845191956,0.047735202233833735,2.788860321044922
9248,0.8046671152114868,0.04745210251306295,3.110302209854126
10272,0.4526376724243164,0.04716900279229217,3.4669547080993652
11296,1.2337579727172852,0.046885903071521386,3.773787021636963
12320,0.2727909982204437,0.0466028033507506,4.116660118103027
13344,0.35881978273391724,0.04631970362997982,4.5200583934783936
14368,0.44672054052352905,0.04603660390920904,4.881291151046753
15392,0.3606492877006531,0.04575350418843826,5.186882495880127
16416,0.2798583507537842,0.04547040446766747,5.614046096801758
17440,0.4327903389930725,0.04518730474689669,5.965056896209717
18464,0.44341400265693665,0.04490420502612591,6.310793161392212
19488,0.5431382060050964,0.044621105305355124,6.592255353927612
20512,0.3742876350879669,0.04433800558458434,6.910756587982178
21536,0.7224177718162537,0.044054905863813554,7.2110748291015625
22560,0.3113236427307129,0.04377180614304277,7.570085763931274
23584,0.5217863321304321,0.04348870642227198,7.94640851020813
24608,0.425299733877182,0.043205606701501205,8.335735321044922
25632,0.26476335525512695,0.04292250698073042,8.65664267539978
26656,0.2277289479970932,0.04263940725995964,9.007151365280151
27680,0.276382178068161,0.042356307539188856,9.329436302185059
28704,0.28848618268966675,0.04207320781841807,9.64731240272522
29728,0.13621923327445984,0.04179010809764729,10.001004934310913
30752,0.16711165010929108,0.04150700837687651,10.298682451248169
31776,0.24018998444080353,0.04122390865610573,10.581745147705078
32800,0.2141018807888031,0.040940808935334944,10.911422967910767
33824,0.790169358253479,0.04065770921456416,11.280995607376099
34848,0.20892658829689026,0.04037460949379337,11.607441902160645
35872,0.1589457392692566,0.04009150977302259,11.91678237915039
36896,0.25429150462150574,0.0398084100522518,12.209481954574585
37920,0.2290697693824768,0.039525310331481024,12.470595359802246
38944,0.30416491627693176,0.03924221061071024,12.854304075241089
39968,0.33882108330726624,0.038959110889939454,13.239121198654175
40992,0.19618986546993256,0.038676011169168675,13.521960973739624
42016,0.17936086654663086,0.03839291144839789,13.801753997802734
43040,0.46074795722961426,0.03810981172762711,14.126982688903809
44064,0.5664840340614319,0.037826712006856326,14.450310945510864
45088,0.09556663781404495,0.03754361228608554,14.766496896743774
46112,0.2877570688724518,0.037260512565314756,15.048229932785034
47136,0.20426227152347565,0.03697741284454397,15.30724811553955
48160,0.22542954981327057,0.03669431312377319,15.620901107788086
49184,0.13481874763965607,0.03641121340300241,15.929431438446045
50208,0.740188717842102,0.03612811368223162,16.230429649353027
51232,0.33408379554748535,0.035845013961460837,16.540130138397217
52256,0.47887295484542847,0.03556191424069006,16.87671136856079
