,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,-0.4410460344002388,-0.9909435205005764,-0.9924755455229496,0.0005565512205831791,-0.024486892102023816,-0.0128164556962026,0.003614882062069169,0.000818396842829916,0.00027057916701700435,-0.00897425285781761,-0.009371158887000797,-0.8081550334745883,-0.006298543781318222,-0.22498667733402833
nllb — flores_plus,-0.4410460344002388,-0.9963576158940396,-0.9947209653092006,-0.01098901098901095,0.017847434048473,0.0,-0.008823977907811975,0.0,-0.0002195148721325646,-0.0004943153732079875,-0.0004938271604938427,-0.8107082052011596,-0.0003966515317729291,-0.22139071162342394
nllb — wili_2018,-0.4410460344002388,-0.9963576158940396,-0.9898686679174484,-0.001025583650332007,0.024152795561246276,-0.0005146502551000021,0.0005114484588967239,0.0005590071139245367,-0.0005002476099978947,0.0019757461519366304,-0.0004992029020871591,-0.8090907727372423,0.0030824141085608048,-0.21841936412211282
glotlid — commonlid,-0.43756102813098485,-0.9938650306748468,-0.9913240286684272,0.018589153129449976,-0.03434043608793824,0.0,0.00012005883694998776,-0.0035734254297049572,-0.040147603272493226,-0.010440228449482225,0.008457454645673823,-0.8075833624914196,-0.00766687832844315,-0.22582591946380015
glotlid — flores_plus,-0.43756102813098485,-0.9938650306748468,-0.9935727788279772,-0.005464480874316946,0.010268948655256849,0.0,-0.00589388676522784,0.0,-0.058438250788583335,0.0004943153732079875,0.0,-0.8083329458779362,-0.007379169299957855,-0.22582110836667912
glotlid — wili_2018,-0.43756102813098485,-0.9938650306748468,-0.9887133182844244,-0.0010204041951678011,0.016036071469560986,0.0,-0.06690883572756068,0.0005566503011475987,-0.04192901878914401,-2.620928110963483e-05,-0.0005246237398539577,-0.806713125696752,-0.011727046245265993,-0.22854143155021667
conlid — commonlid,-0.4106156055699427,-0.9724558799274288,-0.9386479093395858,0.0015216099219681478,-0.037742604191159934,0.0,-0.004443716741711179,-0.0017119559846786592,-0.2608812251611159,-0.005813223621196739,-0.0029307075068972788,-0.7739064649456524,-0.039000227910598984,-0.23942920164743176
conlid — flores_plus,-0.4106156055699427,-0.9726162982514022,-0.9408538973756364,0.0,-0.0029791342847723667,0.0,0.0,0.0,-0.28672339527452495,0.0,-0.0004967673307737508,-0.7746952670656604,-0.036274912111258883,-0.2376622816442776
conlid — wili_2018,-0.4106156055699427,-0.9726162982514022,-0.936087295401403,-0.0005094235592864038,0.006632873536412176,0.0,0.0,0.0,-0.3210699161697347,-0.0025698722253409967,-0.000528934179134799,-0.773106399740916,-0.03975565907463563,-0.2397604065290757
