,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.544157,0.000000,0.000000,0.931442,0.923358,0.974684,0.964136,0.986552,0.993111,0.928752,0.941013,0.181386,0.955381,0.744291
nllb — flores_plus,0.544157,0.000000,0.000000,0.989011,0.983957,1.000000,0.990682,1.000000,0.666447,0.999506,0.999506,0.181386,0.953639,0.743024
nllb — wili_2018,0.544157,0.000000,0.000000,0.996942,0.930516,0.993859,0.989378,0.942918,0.997494,0.989940,0.989919,0.181386,0.978871,0.761375
glotlid — commonlid,0.545059,0.000000,0.000000,0.966705,0.925191,0.987805,0.971278,0.978873,0.950510,0.925012,0.921685,0.181686,0.953382,0.742920
glotlid — flores_plus,0.545059,0.000000,0.000000,0.994536,1.000000,1.000000,0.992134,0.999506,0.605372,1.000000,1.000000,0.181686,0.948943,0.739691
glotlid — wili_2018,0.545059,0.000000,0.000000,0.997453,0.938120,0.994888,0.918422,0.945148,0.954071,0.986935,0.975410,0.181686,0.963806,0.750500
conlid — commonlid,0.550937,0.000000,0.000000,0.962372,0.850060,0.981818,0.944699,0.962269,0.722447,0.897315,0.895479,0.183646,0.902057,0.706127
conlid — flores_plus,0.550937,0.000000,0.000000,0.998516,0.996032,0.999506,0.997036,1.000000,0.373997,1.000000,0.997027,0.183646,0.920264,0.719368
conlid — wili_2018,0.550937,0.000000,0.000000,0.998473,0.944310,0.994379,0.990399,0.943476,0.672414,0.980789,0.970694,0.183646,0.936867,0.731443
