,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.985203,0.990944,0.992476,0.930886,0.947845,0.987500,0.960521,0.985734,0.992840,0.937727,0.950384,0.989541,0.961679,0.969278
nllb — flores_plus,0.985203,0.996358,0.994721,1.000000,0.966110,1.000000,0.999506,1.000000,0.666667,1.000000,1.000000,0.992094,0.954035,0.964415
nllb — wili_2018,0.985203,0.996358,0.989869,0.997967,0.906364,0.994373,0.988866,0.942359,0.997994,0.987964,0.990419,0.990477,0.975788,0.979794
glotlid — commonlid,0.982620,0.993865,0.991324,0.948116,0.959532,0.987805,0.971158,0.982447,0.990657,0.935452,0.913228,0.989270,0.961049,0.968746
glotlid — flores_plus,0.982620,0.993865,0.993573,1.000000,0.989731,1.000000,0.998028,0.999506,0.663810,0.999506,1.000000,0.990019,0.956323,0.965513
glotlid — wili_2018,0.982620,0.993865,0.988713,0.998473,0.922084,0.994888,0.985331,0.944591,0.996000,0.986961,0.975934,0.988399,0.975533,0.979042
conlid — commonlid,0.961553,0.972456,0.938648,0.960850,0.887802,0.981818,0.949143,0.963981,0.983328,0.903129,0.898410,0.957552,0.941058,0.945556
conlid — flores_plus,0.961553,0.972616,0.940854,0.998516,0.999011,0.999506,0.997036,1.000000,0.660720,1.000000,0.997524,0.958341,0.956539,0.957030
conlid — wili_2018,0.961553,0.972616,0.936087,0.998983,0.937677,0.994379,0.990399,0.943476,0.993484,0.983359,0.971223,0.956752,0.976622,0.971203
