,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.968171,0.960115,0.992854,0.932862,0.902631,0.987500,0.957396,0.986824,0.992474,0.916429,0.941404,0.973714,0.952190,0.958060
nllb — flores_plus,0.996852,0.996523,0.995100,0.990524,1.000000,1.000000,0.992636,1.000000,0.666667,0.999506,0.999506,0.996158,0.956105,0.967028
nllb — wili_2018,0.996852,0.996358,0.990248,0.996942,0.944762,0.993859,0.989378,0.942918,0.997994,0.989940,0.989919,0.994486,0.980714,0.984470
glotlid — commonlid,0.975521,0.986225,0.992084,0.964490,0.928367,0.981818,0.961755,0.980795,0.945776,0.925489,0.921328,0.984610,0.951227,0.960332
glotlid — flores_plus,0.995559,0.995695,0.994333,0.995533,1.000000,1.000000,0.993103,0.999506,0.594932,1.000000,1.000000,0.995196,0.947884,0.960787
glotlid — wili_2018,0.995559,0.995695,0.989474,0.997453,0.937175,0.994888,0.910675,0.945148,0.955021,0.985915,0.973833,0.993576,0.962513,0.970985
conlid — commonlid,0.965568,0.974554,0.949651,0.962372,0.850456,0.981818,0.944699,0.962269,0.716718,0.897500,0.895880,0.963258,0.901464,0.918317
conlid — flores_plus,0.965568,0.975360,0.951863,0.998516,0.996032,0.999506,0.997036,1.000000,0.368760,1.000000,0.997027,0.964264,0.919609,0.931788
conlid — wili_2018,0.965568,0.975360,0.947084,0.998473,0.943853,0.994379,0.990399,0.943476,0.666223,0.980789,0.970694,0.962671,0.936036,0.943300
