,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.01703202934546144,0.030828651323805634,-0.0003789110396680284,-0.001976661655053391,0.045214113334311024,0.0,0.0031251179815557917,-0.001090902379364156,0.00036593067850421157,0.021297378016070345,0.008980087951079185,0.01582725654319972,0.009489382990887862,0.011217893959700409
nllb — flores_plus,-0.011649213157233995,-0.00016498718594037953,-0.00037892161126673596,0.009476309226932766,-0.03389021479713605,0.0,0.006869454877160175,0.0,0.0,0.0004943153732079875,0.0004938271604938427,-0.004064373984813852,-0.0020695385199177574,-0.0026135845557984094
nllb — wili_2018,-0.011649213157233995,0.0,-0.0003788939730241525,0.001025583650332007,-0.03839826839826843,0.0005146502551000021,-0.0005114484588967239,-0.0005590071139245367,0.0,-0.0019757461519366304,0.0004992029020871591,-0.0040093690434193086,-0.004925629164438394,-0.004675740040524068
glotlid — commonlid,0.007098765484391811,0.00764003887425635,-0.000760404049250818,-0.01637447973459505,0.03116475833329957,0.005986696230598554,0.009403084750953639,0.0016514254830409802,0.044881489381253026,0.009963552951080867,-0.00810009443904458,0.004659466769799114,0.009822054119573376,0.00841407575145292
glotlid — flores_plus,-0.012938774285014443,-0.0018303335635636575,-0.000760428576631722,0.004466501240694809,-0.010268948655256849,0.0,0.004924165136366732,0.0,0.06887783644668533,-0.0004943153732079875,0.0,-0.005176512141736644,0.00843815484941024,0.004725063851824696
glotlid — wili_2018,-0.012938774285014443,-0.0018303335635636575,-0.000760365926101958,0.0010204041951678011,-0.015091338356665207,0.0,0.07465592880213967,-0.0005566503011475987,0.04097907949790802,0.001045389690197407,0.00210172506966555,-0.005176491258226723,0.01301931732465822,0.008056824074780589
conlid — commonlid,-0.004015627812249956,-0.0020979865629876526,-0.01100352365809043,-0.0015216099219681478,0.03734596105666976,0.0,0.004443716741711179,0.0017119559846786592,0.26661016136598936,0.005628240470088142,0.0025294428821932557,-0.005705712677776087,0.03959348357242032,0.027239157322366703
conlid — flores_plus,-0.004015627812249956,-0.0027433842357814653,-0.011009456661630779,0.0,0.0029791342847723667,0.0,0.0,0.0,0.29196012058941345,0.0,0.0004967673307737508,-0.00592282290322077,0.036929502775620016,0.02524250486320878
conlid — wili_2018,-0.004015627812249956,-0.0027433842357814653,-0.010996520743826954,0.0005094235592864038,-0.006175801935559777,0.0,0.0,0.0,0.32726119095206374,0.0025698722253409967,0.000528934179134799,-0.005918510930619569,0.040586702372533257,0.027903462380764354
