,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,-0.4240140050547774,-0.9601148691767708,-0.9928544565626176,-0.001420110434470212,0.020727221232287207,-0.0128164556962026,0.006740000043624961,-0.0002725055365342399,0.0006365098455212159,0.012323125158252735,-0.00039107093592161135,-0.7923277769313886,0.0031908392095696403,-0.21376878337432792
nllb — flores_plus,-0.4526952475574728,-0.99652260307998,-0.9950998869204674,-0.0015127017620781835,-0.016042780748663055,0.0,-0.0019545230306518002,0.0,-0.0002195148721325646,0.0,0.0,-0.8147725791859735,-0.0024661900516906865,-0.22400429617922235
nllb — wili_2018,-0.4526952475574728,-0.9963576158940396,-0.9902475618904726,0.0,-0.014245472837022155,0.0,0.0,0.0,-0.0005002476099978947,0.0,0.0,-0.8131001417806616,-0.0018432150558775895,-0.2230951041626369
glotlid — commonlid,-0.43046226264659304,-0.9862249918005904,-0.992084432717678,0.002214673394854927,-0.0031756777546386727,0.005986696230598554,0.009523143587903626,-0.001921999946663977,0.004733886108759799,-0.0004766754984013577,0.0003573602066292425,-0.8029238957216205,0.002155175791130226,-0.21741184371234723
glotlid — flores_plus,-0.4504998024159993,-0.9956953642384104,-0.994333207404609,-0.000997979633622137,0.0,0.0,-0.0009697216288611088,0.0,0.01043958565810199,0.0,0.0,-0.8135094580196729,0.0010589855494523848,-0.22109604451485443
glotlid — wili_2018,-0.4504998024159993,-0.9956953642384104,-0.9894736842105264,0.0,0.0009447331128957792,0.0,0.007747093074578992,0.0,-0.0009499392912359905,0.001019180409087772,0.0015771013298115921,-0.8118896169549787,0.0012922710793922265,-0.22048460747543608
conlid — commonlid,-0.41463123338219265,-0.9745538664904164,-0.9496514329976762,0.0,-0.0003966431344901711,0.0,0.0,0.0,0.005728936204873469,-0.00018498315110859753,-0.000401264624704023,-0.7796121776234285,0.0005932556618213347,-0.21219004432506505
conlid — flores_plus,-0.41463123338219265,-0.9753596824871836,-0.9518633540372672,0.0,0.0,0.0,0.0,0.0,0.005236725314888502,0.0,0.0,-0.7806180899688812,0.0006545906643611321,-0.21241977678106883
conlid — wili_2018,-0.41463123338219265,-0.9753596824871836,-0.94708381614523,0.0,0.00045707160085239895,0.0,0.0,0.0,0.006191274782329059,0.0,0.0,-0.7790249106715356,0.0008310432978976268,-0.21185694414831135
