Model,Sinh-Sinh,Pali-Sinh,San-Sinh,San-Deva,Eng-Latn,Tam-Taml,Hin-Deva,Ben-Beng,Ara-Arab,Fre-Latn,Ger-Latn,Macro F1
XLM-R Base,0.9967,0.9957,0.9970,--,0.9569,0.9950,0.9909,0.9701,--,0.9886,0.9894,0.8880
ConLID,0.9643,0.9700,0.9434,0.9924,0.9439,0.9945,0.9899,0.9435,--,0.9819,0.9707,0.9695
fastText LID-176,0.9856,0.9965,0.9985,0.9904,0.9385,0.9950,0.9889,0.9529,--,0.9774,0.9850,0.9809
GlotLID v3,0.9590,0.9566,0.9019,0.9914,0.9377,0.9950,0.9173,0.9451,--,0.9880,0.9754,0.9568
NLLB LID-218,0.9652,0.9514,0.9053,0.9909,0.9301,0.9940,0.9889,0.9429,--,0.9900,0.9899,0.9649
OpenLID-v2,0.9670,0.9743,0.9704,0.0276,0.9427,0.9940,0.0134,0.9424,--,0.9687,0.9817,0.7782
