model,dataset,samples,accuracy,macro_f1,throughput_sps
FastText-LID-176-TwoStage,flores_plus,550,0.9927272727272727,0.9936080769486967,9891.674992388933
OpenLID-v2-TwoStage,flores_plus,550,0.7781818181818182,0.789582717815906,2387.576847761738
NLLB-LID-218-TwoStage,flores_plus,550,0.9581818181818181,0.95800582977397,807.0924665633864
GlotLID-v3-TwoStage,flores_plus,550,0.9527272727272728,0.9549016388654703,621.7662520241583
ConLID-TwoStage,flores_plus,550,0.9272727272727272,0.9441110906197469,230.63351284858584
