,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.985203,0.991107,0.992476,0.930886,0.949689,0.987500,0.960521,0.985468,0.993940,0.939227,0.950897,0.989595,0.962266,0.969719
nllb — flores_plus,0.985203,0.996358,0.994721,1.000000,0.971675,1.000000,0.999506,1.000000,0.995084,1.000000,1.000000,0.992094,0.995783,0.994777
nllb — wili_2018,0.985203,0.996358,0.989869,0.997967,0.906776,0.994373,0.988866,0.942359,,0.988956,0.990419,0.990477,0.972817,0.978115
glotlid — commonlid,0.982620,0.993865,0.991324,0.948116,0.961580,0.987805,0.971158,0.982181,0.994020,0.937145,0.913228,0.989270,0.961904,0.969367
glotlid — flores_plus,0.982620,0.993865,0.993573,1.000000,0.990700,1.000000,0.998028,0.999506,0.991142,0.999506,1.000000,0.990019,0.997360,0.995358
glotlid — wili_2018,0.982620,0.993865,0.988713,0.998473,0.922509,0.994888,0.985331,0.944591,,0.987952,0.975934,0.988399,0.972811,0.977488
conlid — commonlid,0.961553,0.972456,0.938648,0.960850,0.888231,0.981818,0.949143,0.963716,0.988421,0.904220,0.898410,0.957552,0.941851,0.946133
conlid — flores_plus,0.961553,0.972616,0.940854,0.998516,0.999011,0.999506,0.997036,1.000000,0.987654,1.000000,0.997524,0.958341,0.997406,0.986752
conlid — wili_2018,0.961553,0.972616,0.936087,0.998983,0.938120,0.994379,0.990399,0.943476,,0.984351,0.971223,0.956752,0.974419,0.969119
