,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,-0.4410460344002388,-0.991106719367589,-0.9924755455229496,0.0005565512205831791,-0.02526571503666264,-0.0128164556962026,0.003614882062069169,0.0008183907673363633,6.195114344598185e-05,-0.008979214327505036,-0.009385891024249804,-0.8082094330969257,-0.006424437611398104,-0.22509307274381485
nllb — flores_plus,-0.4410460344002388,-0.9963576158940396,-0.9947209653092006,-0.01098901098901095,0.01276032959047757,0.0,-0.008823977907811975,0.0,-0.0004889845597809694,-0.0004943153732079875,-0.0004938271604938427,-0.8107082052011596,-0.0010662232999784083,-0.22187767290939153
nllb — wili_2018,-0.4410460344002388,-0.9963576158940396,-0.9898686679174484,-0.001025583650332007,0.024177692110360027,-0.0005146502551000021,0.0005114484588967239,0.0005590071139245367,,0.0009838145337890403,-0.0004992029020871591,-0.8090907727372423,0.00345607505849288,-0.24030797928022762
glotlid — commonlid,-0.43756102813098485,-0.9938650306748468,-0.9913240286684272,0.018589153129449976,-0.035454209965285366,0.0,0.00025484622582583327,-0.003308186049341577,-0.029249230049945618,-0.01044314265378754,0.008587764986946578,-0.8075833624914196,-0.006377875547017187,-0.22488846289549058
glotlid — flores_plus,-0.43756102813098485,-0.9938650306748468,-0.9935727788279772,-0.005464480874316946,0.009300048947626038,0.0,-0.00589388676522784,0.0,-0.06685151146327539,0.0004943153732079875,0.0,-0.8083329458779362,-0.008551939347748339,-0.22667403203779957
glotlid — wili_2018,-0.43756102813098485,-0.9938650306748468,-0.9887133182844244,-0.0010204041951678011,0.01605410193988499,0.0,-0.06690883572756068,0.0005566503011475987,,-2.4241836561467167e-05,-0.0005246237398539577,-0.806713125696752,-0.007409621894015839,-0.24720067303483684
conlid — commonlid,-0.4106156055699427,-0.9724558799274288,-0.9386479093395858,0.0015216099219681478,-0.038011804639444424,0.0,-0.004443716741711179,-0.0017119223662128702,-0.22010990850320544,-0.005814989964362138,-0.0028656148999306463,-0.7739064649456524,-0.03392954339911225,-0.23574143109362333
conlid — flores_plus,-0.4106156055699427,-0.9726162982514022,-0.9408538973756364,0.0,-0.0029791342847723667,0.0,0.0,0.0,-0.3621509652829564,0.0,-0.0004967673307737508,-0.7746952670656604,-0.045703358362312874,-0.24451933346322574
conlid — wili_2018,-0.4106156055699427,-0.9726162982514022,-0.936087295401403,-0.0005094235592864038,0.0066474607551274545,0.0,0.0,0.0,,-0.0025699611900094066,-0.000528934179134799,-0.773106399740916,0.00043416311809940655,-0.23162800573960518
