,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.544157,0.000000,0.000000,0.931442,0.924423,0.974684,0.964136,0.986287,0.994002,0.930247,0.941511,0.181386,0.955841,0.744626
nllb — flores_plus,0.544157,0.000000,0.000000,0.989011,0.984436,1.000000,0.990682,1.000000,0.994595,0.999506,0.999506,0.181386,0.994717,0.772899
nllb — wili_2018,0.544157,0.000000,0.000000,0.996942,0.930953,0.993859,0.989378,0.942918,,0.989940,0.989919,0.181386,0.976273,0.737807
glotlid — commonlid,0.545059,0.000000,0.000000,0.966705,0.926126,0.987805,0.971413,0.978873,0.964771,0.926702,0.921815,0.181686,0.955526,0.744479
glotlid — flores_plus,0.545059,0.000000,0.000000,0.994536,1.000000,1.000000,0.992134,0.999506,0.924290,1.000000,1.000000,0.181686,0.988808,0.768684
glotlid — wili_2018,0.545059,0.000000,0.000000,0.997453,0.938563,0.994888,0.918422,0.945148,,0.987928,0.975410,0.181686,0.965402,0.730287
conlid — commonlid,0.550937,0.000000,0.000000,0.962372,0.850219,0.981818,0.944699,0.962004,0.768311,0.898405,0.895544,0.183646,0.907922,0.710392
conlid — flores_plus,0.550937,0.000000,0.000000,0.998516,0.996032,0.999506,0.997036,1.000000,0.625503,1.000000,0.997027,0.183646,0.951702,0.742232
conlid — wili_2018,0.550937,0.000000,0.000000,0.998473,0.944767,0.994379,0.990399,0.943476,,0.981781,0.970694,0.183646,0.974853,0.737491
