,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,0.01616074497520259,0.029918410790684358,-0.0003789110396680284,-0.001976661655053391,0.046421846853638815,0.0,0.0031251179815557917,-0.0010908943597578435,0.0003889832654274672,0.021172945078021588,0.008927122793576214,0.015233414908739529,0.00962105749467601,0.011151700425784394
nllb — flores_plus,-0.011649213157233995,-0.00016498718594037953,-0.00037892161126673596,0.009476309226932766,-0.028324531925107976,0.0,0.006869454877160175,0.0,0.0,0.0004943153732079875,0.0004938271604938427,-0.004064373984813852,-0.0013738281609142478,-0.002107613385614049
nllb — wili_2018,-0.011649213157233995,0.0,-0.0003788939730241525,0.001025583650332007,-0.03843619853192404,0.0005146502551000021,-0.0005114484588967239,-0.0005590071139245367,,-0.0009838145337890403,0.0004992029020871591,-0.0040093690434193086,-0.00549300454728785,-0.005047913896127354
glotlid — commonlid,0.006744866951640005,0.004882955358286978,-0.000760404049250818,-0.01637447973459505,0.03222426384979804,0.005986696230598554,0.009403084750953639,0.0016514092609748454,0.0329883489176952,0.009983819841375974,-0.008165164548771031,0.0036224727535587586,0.008462247321003757,0.007142308802609576
glotlid — flores_plus,-0.012938774285014443,-0.0018303335635636575,-0.000760428576631722,0.004466501240694809,-0.009300048947626038,0.0,0.004924165136366732,0.0,0.0789543985953326,-0.0004943153732079875,0.0,-0.005176512141736644,0.009818837581445083,0.005729196747849996
glotlid — wili_2018,-0.012938774285014443,-0.0018303335635636575,-0.000760365926101958,0.0010204041951678011,-0.01510892235576422,0.0,0.07465592880213967,-0.0005566503011475987,,0.0010434487193488051,0.00210172506966555,-0.005176491258226723,0.009022276304201382,0.00476264603547305
conlid — commonlid,-0.004015627812249956,-0.0020979865629876526,-0.01100352365809043,-0.0015216099219681478,0.03761515370774959,0.0,0.004443716741711179,0.0017119223662128702,0.22548795200669236,0.005630034407265283,0.002464344767190707,-0.005705712677776087,0.034478939259356745,0.02351948873104792
conlid — flores_plus,-0.004015627812249956,-0.0027433842357814653,-0.011009456661630779,0.0,0.0029791342847723667,0.0,0.0,0.0,0.36957065027240477,0.0,0.0004967673307737508,-0.00592282290322077,0.04663081898599386,0.032298007561662456
conlid — wili_2018,-0.004015627812249956,-0.0027433842357814653,-0.010996520743826954,0.0005094235592864038,-0.006189946255437007,0.0,0.0,0.0,,0.0025699611900094066,0.000528934179134799,-0.005918510930619569,-0.0003688039038580726,-0.0020337160118862885
