,Sinhala (Sinhala),Pali (Sinhala),Sanskrit (Sinhala),Sanskrit (Devanagari),English,Tamil,Hindi,Bengali,Modern Standard Arabic,French,German,Macro F1 (target 3),Macro F1 (replay 8),Macro F1 (all 11)
nllb — commonlid,-0.42488528942503623,-0.9611883085769046,-0.9928544565626176,-0.001420110434470212,0.021156131816976176,-0.0128164556962026,0.006740000043624961,-0.00027250359242148026,0.00045093440887344904,0.012193730750516552,-0.00045876823067358963,-0.7929760181881862,0.003196619883277907,-0.21394137231803045
nllb — flores_plus,-0.4526952475574728,-0.99652260307998,-0.9950998869204674,-0.0015127017620781835,-0.015564202334630406,0.0,-0.0019545230306518002,0.0,-0.0004889845597809694,0.0,0.0,-0.8147725791859735,-0.002440051460892656,-0.22398528629500558
nllb — wili_2018,-0.4526952475574728,-0.9963576158940396,-0.9902475618904726,0.0,-0.01425850642156401,0.0,0.0,0.0,,0.0,0.0,-0.8131001417806616,-0.0020369294887949696,-0.24535589317635498
glotlid — commonlid,-0.43081616117934485,-0.9889820753165598,-0.992084432717678,0.002214673394854927,-0.0032299461154873255,0.005986696230598554,0.009657930976779472,-0.0016567767883667317,0.00373911886774958,-0.0004593228124115667,0.0004226004381755466,-0.8039608897378608,0.002084371773986571,-0.217746154092881
glotlid — flores_plus,-0.4504998024159993,-0.9956953642384104,-0.994333207404609,-0.000997979633622137,0.0,0.0,-0.0009697216288611088,0.0,0.012102887132057205,0.0,0.0,-0.8135094580196729,0.001266898233696745,-0.22094483528994957
glotlid — wili_2018,-0.4504998024159993,-0.9956953642384104,-0.9894736842105264,0.0,0.00094517958412077,0.0,0.007747093074578992,0.0,,0.001019206882787338,0.0015771013298115921,-0.8118896169549787,0.0016126544101855433,-0.2424380269993638
conlid — commonlid,-0.41463123338219265,-0.9745538664904164,-0.9496514329976762,0.0,-0.0003966509316948308,0.0,0.0,0.0,0.005378043503486918,-0.0001849555570968553,-0.0004012701327399393,-0.7796121776234285,0.0005493958602444948,-0.2122219423625754
conlid — flores_plus,-0.41463123338219265,-0.9753596824871836,-0.9518633540372672,0.0,0.0,0.0,0.0,0.0,0.0074196849894483385,0.0,0.0,-0.7806180899688812,0.0009274606236809868,-0.21222132590156328
conlid — wili_2018,-0.41463123338219265,-0.9753596824871836,-0.94708381614523,0.0,0.0004575144996904479,0.0,0.0,0.0,,0.0,0.0,-0.7790249106715356,6.535921424133395e-05,-0.23366172175149147
